Article_number,Topics_A,Promoting_collective_gains_A,Preventing_collective_losses_A,Notes/Uncertainty_A,Topics_B,Promoting_collective_gains_B,Preventing_collective_losses_B,Notes/Uncertainty_B,Mismatch,Topics_C,linked_progress,linked_hurt
71,Community events,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
72,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
73,Employment,1,0,Support for Asian biz,Others,1,0,Domestic business,Mismatch,Mismatch,1,0
74,Housing,0,0,,Others,0,0,Development,Mismatch,Mismatch,0,0
75,The Redress Movement,0,0,Tokyo Rose,The Redress Movement,0,0,,,The Redress Movement,0,0
76,Arts,1,0,,Arts,0,0,,,Arts,1,0
77,Political representation,1,1,,Political representation,1,0,,,Political representation,1,0
78,Anti-U.S. foreign policy,0,1,Hypcritical US stance on Foreign Policy/Immigration,Anti-U.S. foreign policy,0,0,,,Anti-U.S. foreign policy,0,1
79,Arts,1,0,,Arts,0,0,,,Arts,1,0
80,Healthcare,1,0,Need for Asian psychologists,Healthcare,1,0,,,Healthcare,1,0
81,Arts,0,0,,Others,0,0,Education,Mismatch,Mismatch,0,0
82,Anti-U.S. foreign policy,0,1,"Argument vs immigration policy, anti-communism",Anti-U.S. foreign policy,0,0,,,Anti-U.S. foreign policy,0,1
83,Arts,0,0,,Arts,0,0,,,Arts,0,1
84,Community events,1,0,New church/resources,Others,0,0,,Mismatch,Mismatch,0,0
85,Employment,0,1,Plight of Filipino Immigrants,Others,0,0,immigration,Mismatch,Mismatch,0,1
86,Arts,1,0,,Arts,0,0,,,Arts,0,0
87,Community events,0,0,,Community events,0,0,,,Community events,0,0
88,Arts,0,0,,Employment,0,0,,Mismatch,Mismatch,0,0
89,Others,1,0,,Others,1,0,transportation,,Others,1,0
90,Arts,0,0,,Arts,0,0,,,Arts,0,1
91,Others,1,0,Visits to closed China,Others,0,0,travel,,Others,0,0
92,Others,0,0,Asians in criminal justice system,Others,0,0,crime,,Others,0,0
93,Healthcare,0,0,Herbalism,Healthcare,0,0,,,Healthcare,0,0
94,Employment,0,1,Alaskeros,Employment,0,0,,,Employment,0,0
95,Employment,0,0,Laundry Shop,Others,0,0,local business,Mismatch,Mismatch,0,0
96,Others,0,0,Himalayas,Others,0,0,,,Others,0,0
97,International business,0,0,,Others,0,0,historical,Mismatch,Mismatch,0,0
98,Housing,0,0,,Housing,1,0,,,Housing,1,0
99,Healthcare,1,0,,Healthcare,1,0,,,Healthcare,1,0
100,Others,0,1,Immigration laws reforms,Anti-U.S. foreign policy,0,0,,Mismatch,Mismatch,0,1
101,Arts,0,0,,Arts,0,0,,,Arts,0,0
102,Affirmative action,0,1,"Quotas, anti-segregation",Others,0,0,schools/ed,Mismatch,Mismatch,0,0
103,Housing,0,1,,Others,0,0,,Mismatch,Mismatch,0,0
104,The Redress Movement,0,0,Tokyo Rose,The Redress Movement,0,0,,,The Redress Movement,0,0
105,Healthcare,0,0,,Healthcare,0,0,,,Healthcare,0,0
106,Arts,0,1,,The Redress Movement,0,0,,Mismatch,Mismatch,0,1
107,Political representation,0,0,,Employment,0,0,,Mismatch,Mismatch,0,0
108,Healthcare,1,0,,Healthcare,1,0,,,Healthcare,1,0
109,Others,1,0,Visits to closed China,Others,0,0,duplicate,,Others,0,0
110,Community events,1,0,,Others,0,0,schools/ed,Mismatch,Mismatch,1,0
111,Community events,0,0,Stadium,Others,0,0,,Mismatch,Mismatch,0,0
112,Arts,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
113,Community events,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
114,Arts,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
115,Arts,1,0,,The Redress Movement,0,0,,Mismatch,Mismatch,1,0
116,Arts,0,0,,Arts,0,0,,,Arts,0,0
117,Employment,1,0,Education opportunities?,Affirmative action,0,0,,Mismatch,Mismatch,1,0
118,Labor union,1,1,,Employment,0,0,,Mismatch,Mismatch,1,0
119,Arts,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
120,Asian stereotype,1,1,,Asian stereotype,0,1,,,Asian stereotype,1,1
121,Affirmative action,0,0,,Community events,1,0,,Mismatch,Mismatch,1,0
122,Community events,1,0,School improvement? Affirmative action?,Others,0,0,schools/ed,Mismatch,Mismatch,1,0
123,Others,1,1,Immigration,Others,0,0,immigration,,Others,1,1
124,Arts,0,0,,Arts,0,0,,,Arts,0,0
125,Community events,1,0,Comm. Center,Others,0,0,development,Mismatch,Mismatch,1,0
126,Others,0,0,Someone's life story,Anti-U.S. foreign policy,0,0,,Mismatch,Mismatch,0,0
127,Political representation,0,0,History information,Others,0,0,Government trivia questions,Mismatch,Mismatch,0,0
128,Housing,1,1,,Housing,0,0,,,Housing,1,1
129,Arts,0,0,,Others,0,0,duplicate 119,Mismatch,Mismatch,0,0
130,Labor union,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
131,Others,0,0,news staff leaving,Employment,0,0,,Mismatch,Mismatch,0,0
132,Housing,0,0,,Housing,0,0,,,Housing,0,0
133,Housing,0,0,,Housing,0,0,,,Housing,0,0
134,Housing,0,0,,Housing,1,0,,,Housing,1,0
135,Arts,0,0,,Arts,0,0,,,Arts,0,0
136,Others,0,0,Asians arrested for gambling,Others,0,1,,,Others,0,1
137,The Redress Movement,0,0,Tokyo Rose,The Redress Movement,0,0,,,The Redress Movement,0,0
138,Housing,1,1,,Employment,0,1,,Mismatch,Mismatch,1,1
139,Asian stereotype,0,1,,Asian stereotype,0,1,,,Asian stereotype,0,1
140,Labor union,1,1,,Labor Union,0,0,,,Labor union,1,0
141,Anti-U.S. foreign policy,0,1,Critique of immigration policy,Others,0,0,,Mismatch,Mismatch,0,1
142,Labor union,1,0,,Labor Union,1,1,,,Labor union,1,1
143,Political representation,0,0,,Employment,0,0,,Mismatch,Mismatch,0,0
144,Housing,0,1,,Housing,0,1,,,Housing,0,1
145,Community events,1,0,Comm Dev,Others,0,0,development,Mismatch,Mismatch,1,0
146,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
147,The Redress Movement,0,1,,The Redress Movement,0,0,,,The Redress Movement,0,1
148,Healthcare,1,0,,Housing,1,0,,Mismatch,Mismatch,1,0
149,Anti-U.S. foreign policy,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
150,Affirmative action,1,0, Desegregatio0ccess,Others,0,0,school/ed,Mismatch,Mismatch,1,0
151,Employment,1,0,,Employment,1,0,,,Employment,1,0
152,Housing,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
153,Housing,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
154,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
155,Arts,1,0,,Arts,0,0,,,Arts,1,0
156,Healthcare,1,0,Meals for the elderly/needy,Healthcare,1,0,,,Healthcare,1,0
157,Employment,0,0,Restauraunt opening,Others,0,0,,Mismatch,Mismatch,0,0
158,Arts,1,1,Lots of different topics in this one,Arts,0,0,,,Arts,0,0
159,Housing,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
160,Affirmative action,0,1,"Discrimination in school setting, but not quite AA",Others,0,0,,Mismatch,Mismatch,0,1
161,Asian stereotype,0,1,Could also be coded healthcare,Healthcare,1,0,,Mismatch,Mismatch,1,0
162,Arts,0,0,,Community events,0,0,,Mismatch,Mismatch,0,0
163,Housing,0,0,"Not really housing, about urban devleopment into farms",Others,0,0,urbanization,Mismatch,Mismatch,0,0
164,Employment,0,0,About specific business,Others,0,0,,Mismatch,Mismatch,0,0
165,Anti-U.S. foreign policy,0,0,,Anti-U.S. foreign policy,0,0,,,Anti-U.S. foreign policy,0,0
166,Political representation,1,0,,Affirmative action,0,0,,Mismatch,Mismatch,1,0
167,Others,0,1,Asians in Prisons,Others,0,1,,,Others,0,1
168,Arts,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
169,Others,0,0,Education policy debate,Others,1,0,school/ed,,Others,1,0
170,Others,0,0,,Others,0,0,,,Others,0,0
171,Affirmative action,1,1,,Affirmative action,0,0,,,Affirmative action,1,0
172,Community events,1,0,,Employment,0,0,,Mismatch,Mismatch,1,0
173,Others,0,0,Prostitution issue,Others,0,0,,,Others,0,0
174,Arts,0,0,,Arts,0,0,,,Arts,0,0
175,Arts,0,0,Japanese cultural garden,Others,0,0,,Mismatch,Mismatch,0,0
176,Employment,0,0,Attorney's story,Employment,0,1,,,Employment,0,0
177,Arts,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
178,Arts,0,0,Cultural program,Others,0,0,school/ed,Mismatch,Mismatch,0,0
179,Housing,1,0,,Housing,0,0,,,Housing,1,0
180,Others,0,0,Education related,Others,0,0,school/ed,,Others,0,0
181,Employment,0,0,Vietnamese Shop described,Others,0,0,,Mismatch,Mismatch,0,0
182,Labor union,1,0,,Labor Union,0,1,,,Labor union,1,1
183,Community events,1,0,Community/urban development,Others,0,0,,Mismatch,Mismatch,0,0
184,Community events,1,0,Educational events,Others,1,0,,Mismatch,Mismatch,1,0
185,Healthcare,1,0,Mental Health= Healthcare,Healthcare,0,0,,,Healthcare,1,0
186,Employment,1,0,,Employment,1,0,,,Employment,1,0
187,Community events,0,0,,Community events,0,0,,,Community events,0,0
188,Arts,0,0,Immigration Documentary,Arts,0,0,,,Arts,0,0
189,Community events,1,0,Community/Urban Dev,Others,0,0,,Mismatch,Mismatch,1,0
190,Employment,0,0,Restaurant,Others,0,0,,Mismatch,Mismatch,0,0
191,Arts,1,0,,Arts,0,0,,,Arts,1,0
192,Others,0,0,Discussion of women's status,Community events,0,0,,Mismatch,Mismatch,0,0
193,Political representation,1,0,,Political representation,1,0,,,Political representation,1,0
194,Arts,0,0,Filmmaking,Others,0,0,,Mismatch,Mismatch,0,0
195,Affirmative action,0,1,Not AA but discrimination in college system,Others,0,1,school/ed,Mismatch,Mismatch,0,1
196,Community events,0,0,,Community events,0,0,,,Community events,0,0
197,Community events,1,0,,Healthcare,0,0,,Mismatch,Mismatch,1,0
198,Employment,0,0,Store's story,Others,0,0,,Mismatch,Mismatch,0,0
199,Affirmative action,1,1,Not AA per say but race in schools,Others,0,0,school/ed,Mismatch,Mismatch,1,1
200,Community events,0,0,Community Dev,Others,0,0,,Mismatch,Mismatch,0,0
201,Arts,0,0,Broadcasts,Others,0,0,,Mismatch,Mismatch,0,0
202,Arts,0,0,,Arts,0,0,,,Arts,0,0
203,Community events,1,0,Comm/urban dev,Others,0,0,,Mismatch,Mismatch,1,0
204,Arts,0,0,,Arts,0,0,,,Arts,0,0
205,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
206,Employment,1,0,,Political representation,0,0,,Mismatch,Mismatch,1,0
207,Political representation,0,1,,Political representation,0,0,,,Political representation,0,1
208,Community events,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
209,Affirmative action,1,1,Desegregation of schools,Others,0,0,school/ed,Mismatch,Mismatch,1,1
210,Community events,1,0,Urban/Dev,Others,0,0,,Mismatch,Mismatch,1,0
211,The Redress Movement,0,1,,The Redress Movement,1,0,,,The Redress Movement,1,0
212,The Redress Movement,0,1,,The Redress Movement,0,0,,,The Redress Movement,0,1
213,Housing,0,1,,Housing,0,0,,,Housing,0,1
214,The Redress Movement,0,1,,Others,0,0,,Mismatch,Mismatch,0,1
215,Housing,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
216,Housing,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
217,Employment,0,0,Restaurants,Others,0,0,,Mismatch,Mismatch,0,0
218,Arts,0,0,A Poem,Arts,0,0,,,Arts,0,0
219,Arts,0,0,Film,Arts,0,0,,,Arts,0,0
220,Housing,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
221,Housing,0,0,,Housing,1,0,,,Housing,1,0
222,Community events,0,0,,Others,1,0,,Mismatch,Mismatch,1,0
223,Housing,1,0,,Housing,0,0,,,Housing,1,0
224,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
225,Labor union,1,1,,Labor Union,0,1,,,Labor union,1,1
226,Housing,0,0,,Housing,0,0,,,Housing,0,0
227,Employment,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
228,Arts,1,0,,Arts,0,0,,,Arts,1,0
229,Arts,0,0,,Arts,0,0,,,Arts,0,0
230,Arts,0,0,,Arts,0,0,,,Arts,0,0
231,Arts,0,0,,Arts,0,0,,,Arts,0,0
232,Housing,0,0,,Others,0,0,development,Mismatch,Mismatch,0,0
233,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
234,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
235,Others,0,0,Education Board,Others,0,0,,,Others,0,0
236,The Redress Movement,0,1,,The Redress Movement,1,0,,,The Redress Movement,1,1
237,Others,0,0,Crime,Others,0,0,,,Others,0,0
238,Arts,0,0,,Arts,0,0,,,Arts,0,0
239,Arts,0,0,,Arts,0,0,,,Arts,0,0
240,Others,1,0,Prison Release,Others,0,0,,,Others,0,0
241,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
242,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
243,Others,1,1,Protests over foreign govs,Others,0,0,,,Others,0,1
244,Healthcare,1,0,Services for elderly,Healthcare,1,0,,,Healthcare,1,0
245,Asian stereotype,0,1,Police using asian women to pose as prostitutes,Others,0,0,,Mismatch,Mismatch,0,1
246,Arts,0,0,,Arts,0,0,,,Arts,0,0
247,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
248,Others,0,0,Suicide,Others,0,0,,,Others,0,0
249,Healthcare,1,0,,Healthcare,0,0,,,Healthcare,1,0
250,Housing,0,0,Also arts; documentary,Others,0,0,,Mismatch,Mismatch,0,0
251,Housing,0,1,,Housing,0,0,,,Housing,0,1
252,Others,0,1,Discrimination in immigration,Others,0,1,Immigration,,Others,0,1
253,Anti-U.S. foreign policy,0,0,"Not sure how to code, its praising normalization of relations with china",Anti-U.S. foreign policy,0,0,,,Anti-U.S. foreign policy,0,0
254,Community events,1,0,,Community events,0,0,,,Community events,1,0
255,Others,0,0,Parking Discussion,Others,0,0,,,Others,0,0
256,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
257,Housing,0,0,,Others,0,0,development,Mismatch,Mismatch,0,0
258,Others,0,0,Police/local reports,Others,0,0,,,Others,0,0
259,Others,0,0,Chinatown Parking,Others,0,0,,,Others,0,0
260,Housing,0,0,,Housing,0,0,,,Housing,0,0
261,Affirmative action,1,0,,Others,0,0,school/education,Mismatch,Mismatch,1,0
262,Community events,0,0,,Housing,1,0,,Mismatch,Mismatch,1,0
263,Anti-U.S. foreign policy,0,0,Activists pushing for normalization with China,Others,0,0,,Mismatch,Mismatch,0,0
264,Employment,1,0,,Employment,0,0,,,Employment,1,0
265,Anti-U.S. foreign policy,0,0,Critical of politician,Others,0,0,,Mismatch,Mismatch,0,0
266,Arts,0,0,,Arts,0,0,,,Arts,0,0
267,Affirmative action,0,1,,Employment,0,0,,Mismatch,Mismatch,0,1
268,Affirmative action,0,1,"Not really AA, desegregation",Others,0,0,school/education,Mismatch,Mismatch,0,1
269,Employment,0,0,Drugstore turned over,Others,0,0,,Mismatch,Mismatch,0,0
270,Others,0,0,Building Immigration building,Others,0,0,,,Others,0,0
271,Anti-U.S. foreign policy,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
272,Arts,0,0,,Arts,0,0,,,Arts,0,0
273,The Redress Movement,0,1,,The Redress Movement,0,0,,,The Redress Movement,0,1
274,Political representation,1,0,,Political representation,1,0,,,Political representation,1,0
275,Community events,1,0,,Community events,0,0,,,Community events,1,0
276,Employment,0,0,"Immigrant workers, history lesson",Others,0,0,,Mismatch,Mismatch,0,0
277,Arts,0,0,,Arts,0,0,,,Arts,0,0
278,The Redress Movement,1,0,,The Redress Movement,0,1,,,The Redress Movement,1,1
279,Community events,1,0,,Community events,0,0,,,Community events,1,0
280,Others,0,0,Urban buildings,Others,0,0,,,Others,0,0
281,Others,0,0,Anti-Immigrant protests,Others,0,0,,,Others,0,0
282,Arts,0,0,Kite festival,Community events,0,0,,Mismatch,Mismatch,0,0
283,Housing,1,0,,Others,1,0,,Mismatch,Mismatch,1,0
284,Others,0,0,local community reports,Others,0,0,,,Others,0,0
285,Others,1,0,Government funding of orgs,Others,0,0,,,Others,1,0
286,Community events,0,0,,Employment,0,0,,Mismatch,Mismatch,0,0
287,Employment,1,0,Indochinese refugees,Others,0,0,,Mismatch,Mismatch,1,0
288,Community events,0,0,Park,Others,0,0,,Mismatch,Mismatch,0,0
289,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
290,Others,1,1,,Asian stereotype,1,1,,Mismatch,Mismatch,1,1
291,Arts,0,0,Artisanal tofu,Recipes,0,0,,Mismatch,Mismatch,0,0
292,Arts,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
293,Healthcare,1,0,,Healthcare,1,0,,,Healthcare,1,0
294,Arts,0,0,,Arts,0,0,,,Arts,0,0
295,Labor union,0,1,,Labor Union,0,0,,,Labor union,0,1
296,Arts,0,1,,Others,0,0,school/ed,Mismatch,Mismatch,0,1
297,Healthcare,0,0,,Healthcare,0,0,,,Healthcare,0,0
298,Housing,1,0,,Housing,0,0,,,Housing,1,0
299,Employment,0,1,,Employment,0,0,,,Employment,0,1
300,Community events,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
301,Community events,0,0,Garden,Others,0,0,,Mismatch,Mismatch,0,0
302,Others,0,0,Prostitution Problems,Others,0,0,,,Others,0,0
303,Others,0,0,Ping Pong,Others,0,0,,,Others,0,0
304,Employment,1,0,,Employment,1,0,,,Employment,1,0
305,Housing,0,0,,Housing,1,0,,,Housing,1,0
306,Arts,0,0,,Arts,0,0,,,Arts,0,0
307,Affirmative action,1,1,Desegration,Others,0,0,,Mismatch,Mismatch,1,1
308,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
309,Housing,0,0,,Housing,0,0,,,Housing,0,0
310,Others,0,0,Jails,Others,0,0,,,Others,0,0
311,Others,0,0,obituary,Others,0,0,,,Others,0,0
312,Arts,0,0,,Arts,0,0,,,Arts,0,0
313,Arts,0,0,,Arts,0,0,,,Arts,0,0
314,Employment,0,1,,Employment,1,1,,,Employment,1,1
315,Anti-U.S. foreign policy,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
316,Employment,0,0,,Employment,1,0,,,Employment,1,0
317,Others,0,0,Local crime,Others,0,0,,,Others,0,0
318,Arts,0,0,,Arts,0,0,,,Arts,0,0
319,Others,0,0,Discussion of Deng Xiopeng,Others,0,0,,,Others,0,0
320,Asian stereotype,0,1,,Arts,0,0,,Mismatch,Mismatch,0,1
321,Political representation,0,0,,Political representation,0,0,,,Political representation,0,0
322,Housing,0,0,,Housing,1,0,,,Housing,1,0
323,Political representation,1,0,,Housing,1,0,,Mismatch,Mismatch,1,0
324,Asian stereotype,0,1,,Asian stereotype,0,1,,,Asian stereotype,0,1
325,Housing,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
326,Healthcare,0,0,,Housing,0,0,,Mismatch,Mismatch,0,0
327,Others,0,0,Asian Studies Depts.,Others,0,0,school/ed,,Others,0,0
328,Housing,0,0,,Housing,0,0,,,Housing,0,0
329,Healthcare,1,0,Nutritional Program,Healthcare,0,0,,,Healthcare,1,0
330,Arts,0,0,,Arts,0,0,,,Arts,0,0
331,Others,0,0,Tennis player expose,Others,0,0,,,Others,0,0
332,Employment,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
333,Affirmative action,0,1,Racial discrim in colleges,Others,0,0,school/ed,Mismatch,Mismatch,0,1
334,Affirmative action,0,1,Racial discrim in colleges,Others,0,0,school/ed,Mismatch,Mismatch,0,1
335,Community events,0,0,Reopening,Others,0,0,,Mismatch,Mismatch,0,0
336,Others,0,0,Local crime,Others,0,0,,,Others,0,0
337,Anti-U.S. foreign policy,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
338,Housing,0,0,,Housing,0,0,,,Housing,0,0
339,Political representation,0,0,,Political representation,1,0,,,Political representation,1,0
340,Others,1,0,Asian representation in media,Others,0,0,,,Others,1,0
341,Employment,0,0,Restaurant rivalry,Others,0,0,,Mismatch,Mismatch,0,0
342,Housing,0,0,,Housing,0,0,,,Housing,0,0
343,Arts,1,0,,Arts,0,0,,,Arts,1,0
344,Affirmative action,0,0,,Employment,0,1,,Mismatch,Mismatch,0,1
345,Community events,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
346,Employment,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
347,Affirmative action,0,1,,Others,1,0,school/ed,Mismatch,Mismatch,0,1
348,Healthcare,0,1,treatment of autistic asians,Others,0,0,,Mismatch,Mismatch,0,1
349,Affirmative action,0,1,Desegregation,Others,0,0,school/ed,Mismatch,Mismatch,0,1
350,Community events,0,0,,Community events,0,0,,,Community events,0,0
351,Employment,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
352,Others,0,0,,Others,0,0,,,Others,0,0
353,Community events,1,0,,Others,0,0,,Mismatch,Mismatch,1,0
354,Affirmative action,1,0,,Others,0,0,school/ed,Mismatch,Mismatch,1,0
355,Housing,0,0,Homeless people discussed,Others,0,0,,Mismatch,Mismatch,0,0
356,Community events,0,0,,Community events,0,0,,,Community events,0,0
357,Arts,0,0,,Arts,0,0,,,Arts,0,0
358,Housing,0,1,,Housing,0,0,,,Housing,0,1
359,Community events,0,0,,Community events,0,0,,,Community events,0,0
360,Political representation,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
361,Housing,0,0,,Housing,0,0,,,Housing,0,0
362,Others,0,0,local violence,Others,0,0,,,Others,0,0
363,Housing,0,0,,Housing,0,0,,,Housing,0,0
364,Healthcare,1,0,,Others,1,0,,Mismatch,Mismatch,1,0
365,Arts,0,0,,Arts,0,0,,,Arts,0,0
366,Affirmative action,1,0,"Not pure AA, languages in schools",Others,1,0,school/ed,Mismatch,Mismatch,1,0
367,Asian stereotype,0,1,,Asian stereotype,0,1,,,Asian stereotype,0,1
368,Arts,0,0,,Arts,0,0,,,Arts,0,0
369,Community events,0,0,,Community events,0,0,,,Community events,0,0
370,Employment,0,0,Restaurant expose,Others,0,0,,Mismatch,Mismatch,0,0
371,Arts,0,0,,Arts,0,0,,,Arts,0,0
372,Employment,0,0,Pharmacy opening,Others,0,0,,Mismatch,Mismatch,0,0
373,Healthcare,1,0,,Community events,0,0,,Mismatch,Mismatch,1,0
374,Employment,1,0,,Employment,0,0,,,Employment,1,0
375,Healthcare,0,0,,Others,0,0,,Mismatch,Mismatch,0,0
